Title,Number of List Appearances - Book,Genre
CITADEL,11,Non-fiction
CITIES OF REFUGE,8,Fiction
CITIES OF THE PLAIN,7,Fiction
CITIZEN ABROAD,1,Non-fiction
CITIZEN COHN,8,Non-fiction
CITIZEN HEARST,26,Non-fiction
CITIZEN HUGHES,13,Non-fiction
CITIZEN SOLDIERS,25,Non-fiction
CITIZEN TOM PAINE,10,Fiction
CITIZENS,19,Non-fiction
CITY EDITOR,2,Non-fiction
CITY IN RUINS,1,Fiction
CITY OF BONES,6,Fiction
CITY OF DREAMS,1,Fiction
CITY OF ENDLESS NIGHT,4,Fiction
CITY OF GIRLS,10,Fiction
CITY OF GOD,4,Fiction
CITY OF NIGHT,25,Fiction
CITY OF THE DEAD,1,Fiction
CITY ON FIRE,4,Fiction
CIVILISATION,32,Non-fiction
CIVILIZATION,1,Non-fiction
CIVILIZATION ON TRIAL,22,Non-fiction
CLAIR DE LUNE,3,Fiction
CLANLANDS,1,Non-fiction
CLANSMEN,1,Fiction
CLAPTON,13,Non-fiction
CLASS REUNION,21,Fiction
CLAUDIUS THE GOD,1,Fiction
CLAWBACK,1,Fiction
CLAWS AND EFFECT,1,Fiction
CLEA,13,Fiction
CLEAN,3,Non-fiction
CLEAN HOUSE,1,Non-fiction
CLEAR AND PRESENT DANGER,45,Fiction
CLEMENTE,5,Non-fiction
CLEOPATRA,24,Non-fiction
CLETE,1,Fiction
CLIMATE OF HOPE,1,Non-fiction
CLIMBING HIGHER,3,Non-fiction
CLINTON CASH,5,Non-fiction
"CLINTON, INC.",2,Non-fiction
CLIVE CUSSLER'S DARK VECTOR,1,Fiction
CLIVE CUSSLER'S HELLBURNER,2,Fiction
CLIVE CUSSLER'S THE DEVIL'S SEA,1,Fiction
CLIVE CUSSLER: DESOLATION CODE,1,Fiction
CLIVE CUSSLER: FIRE STRIKE,2,Fiction
CLIVE CUSSLER: GHOST SOLDIER,1,Fiction
CLIVE CUSSLER: THE CORSICAN SHADOW,1,Fiction
CLOAK OF DARKNESS,6,Fiction
CLOAK OF DECEPTION,2,Fiction
CLOCK DANCE,5,Fiction
CLOCK WITHOUT HANDS,22,Fiction
CLOSE COMBAT,7,Fiction
CLOSE ENCOUNTERS,9,Non-fiction
CLOSE TO DEATH,1,Fiction
CLOSE TO SHORE,2,Non-fiction
CLOSE YOUR EYES,1,Fiction
CLOSER TO THE LIGHT,8,Non-fiction
CLOSING THE RING,15,Non-fiction
CLOUD CUCKOO LAND,21,Fiction
CLUNY BROWN,2,Fiction
CO-INTELLIGENCE,1,Non-fiction
COACH,6,Non-fiction
COACH K,1,Non-fiction
COACH WOODEN AND ME,2,Non-fiction
COAST ROAD,5,Fiction
COBALT RED,1,Non-fiction
COBRA II,8,Non-fiction
COCKPIT,1,Fiction
COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS,1,Non-fiction
"COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS, b y Alexandra Fuller.",3,Non-fiction
COCONUT LAYER CAKE MURDER,1,Fiction
CODE NAME: JOHNNY WALKER,1,Non-fiction
CODE OF CONDUCT,6,Fiction
CODE TO ZERO,8,Fiction
COGAN'S TRADE,1,Fiction
COLD BETRAYAL,1,Fiction
COLD COLD HEART,3,Fiction
COLD DAYS,2,Fiction
COLD FIRE,16,Fiction
COLD HARBOUR,12,Fiction
COLD MOUNTAIN,61,Fiction
COLD PARADISE,5,Fiction
COLD SERVICE,4,Fiction
COLD VENGEANCE,5,Fiction
COLD WIND,1,Fiction
COLLAPSE,33,Non-fiction
COLLAPSE OF DIGNITY,1,Non-fiction
COLLATERAL DAMAGE,3,Fiction
"COLLECTED STORIES OF WALLACE STEGNER. (Random Ho use, $21.95.)",3,Fiction
COLLISION 2012,2,Non-fiction
COLLISION COURSE,15,Non-fiction
COLONEL LAWRENCE,2,Non-fiction
COLONEL ROOSEVELT,5,Non-fiction
COLONY,12,Fiction
COLOR BLIND,3,Non-fiction
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRI MAGE,3,Fiction
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIM AGE,4,Fiction
COLOUR SCHEME,1,Fiction
COLUMBELLA,8,Fiction
COLUMBINE,8,Non-fiction
COMA,13,Fiction
COMANCHE MOON,11,Fiction
"COMBINED OPERATIONS, the Story of the Commandos",5,Non-fiction
COME AND GET IT,8,Fiction
COME HOME,3,Fiction
"COME NINEVEH, COME TYRE",25,Fiction
COME POUR THE WINE,27,Fiction
COME RAIN OR COME SHINE,4,Fiction
COME SUNDOWN,5,Fiction
COME THE SPRING,3,Fiction
COME TO GRIEF,7,Fiction
COME TO THE EDGE,1,Non-fiction
"COME WIND, COME WEATHER",5,Non-fiction
COME WITH ME TO MACEDONIA,1,Fiction
"COME, MY BELOVED",11,Fiction
COMEBACK,12,Fiction
COMEDY COMEDY COMEDY DRAMA,2,Non-fiction
COMET,8,Non-fiction
COMETH THE HOUR,4,Fiction
COMFORT FROM A COUNTRY QUILT,4,Non-fiction
COMFORT ME WITH APPLES,18,Fiction
COMING APART,5,Non-fiction
COMING BACK STRONGER,6,Non-fiction
COMING HOME,20,Fiction
COMING HOME TO MYSELF,1,Non-fiction
COMING INTO THE COUNTRY,20,Non-fiction
COMING OF AGE,1,Non-fiction
COMING OUT,7,Fiction
COMING TO MY SENSES,1,Non-fiction
COMMAND AND CONTROL,2,Non-fiction
COMMAND AUTHORITY,9,Fiction
COMMAND DECISION,3,Fiction
COMMAND THE MORNING,3,Fiction
COMMANDER IN CHEAT,4,Non-fiction
COMMITMENTs,1,Fiction
COMMITTED,15,Non-fiction
COMMODORE HORNBLOWER,13,Fiction
COMMON GROUND,15,Non-fiction
COMMON NONSENSE,2,Non-fiction
COMMON STOCKS AND UNCOMMON PROFITS,1,Non-fiction
COMMON WEALTH,2,Non-fiction
COMMONWEALTH,18,Fiction
COMMUNION,30,Non-fiction
COMMUNION WITH GOD,4,Non-fiction
COMMUNISM AND CONSCIENCE OF THE WEST,2,Non-fiction
"COMMUNISM, DEMOCRACY, AND CATHOLIC POWER",17,Non-fiction
COMPANY MAN,1,Fiction
COMPLETE POEMS,2,Non-fiction
COMPLICATIONS,3,Fiction
COMPROMISED,2,Non-fiction
COMPULSION,59,Fiction
COMRADES,1,Non-fiction
CONCEALED IN DEATH,4,Fiction
CONDI VS. HILLARY,1,Non-fiction
CONDOMINIUM,27,Fiction
CONDUCT UNBECOMING,6,Non-fiction
CONFEDERATE AGENT,1,Non-fiction
CONFESSIONAL,1,Fiction
CONFESSIONS OF A HOOKER,21,Non-fiction
CONFESSIONS OF A SOCIOPATHIC SOCIAL CLIMBER,1,Fiction
CONFESSIONS OF A VIDEO VIXEN,22,Non-fiction
CONFESSIONS OF A WILD CHILD,1,Fiction
CONFESSIONS OF AN ADVERTISING MAN,19,Non-fiction
CONFESSIONS OF AN ECONOMIC HIT MAN,7,Non-fiction
CONFESSIONS OF AN HEIRESS,5,Non-fiction
CONFESSIONS OF AN S.O.B.,7,Non-fiction
CONFESSIONS OF FELIX KRULL,8,Fiction
CONFESSOR,4,Fiction
CONFESSORS OF THE NAME,4,Fiction
CONFIDENCE CODE,3,Non-fiction
CONFIDENCE MAN,4,Non-fiction
CONFIDENCE MAN. by Maggie Haberman. (Penguin Pres s.) The New York,1,Non-fiction
CONFIDENCE MEN,5,Non-fiction
CONFLICT,1,Non-fiction
CONFRONTING THE PRESIDENTS,10,Non-fiction
CONGO,12,Fiction
CONGO SONG,1,Fiction
CONNECTIONS,6,Non-fiction
CONNECTIONS IN DEATH,4,Fiction
CONNIE,1,Non-fiction
CONQUERER OF THE SEAS,1,Non-fiction
CONQUEST OF TIBET,2,Non-fiction
CONSCIENCE OF A CONSERVATIVE,2,Non-fiction
CONSENT TO KILL,6,Fiction
CONSERVATIVES WITHOUT CONSCIENCE,6,Non-fiction
"CONSIDER THIS, SENORA",2,Fiction
CONSILIENCE,8,Non-fiction
CONSPIRACIES OF THE RULING CLASS,1,Non-fiction
CONSPIRACY OF FOOLS,5,Non-fiction
CONSTANTINE'S SWORD,9,Non-fiction
CONSULTATION ROOM,1,Non-fiction
CONTACT,24,Fiction
CONTAGION,8,Fiction
CONTEMPT,1,Non-fiction
CONTRABAND,1,Fiction
"CONTRACT BRIDGE BLUE BOOK, 1933",4,Non-fiction
CONTROVERSY CREATES CASH,1,Non-fiction
CONVENTION,27,Fiction
CONVERSATION AT MIDNIGHT,9,Non-fiction
CONVERSATION WITH STALIN,14,Non-fiction
CONVERSATIONS WITH GOD,21,Non-fiction
CONVERSATIONS WITH GOD: Book 1,118,Non-fiction
CONVERSATIONS WITH GOD: Book 2,19,Non-fiction
CONVERSATIONS WITH GOD: Book 3,16,Non-fiction
CONVERSATIONS WITH KENNEDY,17,Non-fiction
CONVERSATIONS WITH MYSELF,1,Non-fiction
CONVICTION,8,Fiction
COOKED,7,Non-fiction
COOLIDGE,5,Non-fiction
COP TOWN,1,Fiction
COPPER BEACH,1,Fiction
CORAL AND BRASS,1,Non-fiction
COROMANDEL!,3,Fiction
CORONATION COMMENTARY,8,Non-fiction
CORONER,7,Non-fiction
CORPUS OF JOE BAILEY,6,Fiction
CORSAIR,5,Fiction
COSBYOLOGY,2,Non-fiction
COSELL,20,Non-fiction
COSMOPOLITANS,1,Fiction
COSMOS,70,Non-fiction
COTTAGE BY THE SEA,6,Fiction
COUNSEL TO THE PRESIDENT,10,Non-fiction
COUNSELOR,3,Non-fiction
COUNTDOWN,7,Fiction
COUNTDOWN 1945,5,Non-fiction
COUNTDOWN 1960,1,Non-fiction
COUNTDOWN BIN LADEN,3,Non-fiction
COUNTDOWN FOR DECISION,1,Non-fiction
COUNTERATTACK,11,Fiction
COUNTERFEIT,2,Fiction
COUNTING MIRACLES,8,Fiction
COUNTING THE COST,3,Non-fiction
COUNTRY,3,Fiction
COUNTRY CHRONICLE,4,Fiction
COUNTRY EDITOR,4,Non-fiction
COUNTRY LAWYER,27,Non-fiction
COUNTRY SQUIRE IN THE WHITE HOUSE,17,Non-fiction
COUP DE GRACE,1,Fiction
COUPLEHOOD,42,Non-fiction
COUPLES,36,Fiction
COURAGE AND CONSEQUENCE,8,Non-fiction
COURT OF THE VAMPIRE QUEEN,1,Fiction
COURTING DISASTER,1,Non-fiction
COURTING TROUBLE,3,Fiction
COURTROOM,41,Non-fiction
COVER OF NIGHT,4,Fiction
COVERT GAME,1,Fiction
COVERT WARRIORS,1,Fiction
COWARDS,6,Non-fiction
COYOTE WAITS,13,Fiction
CRACKS IN THE KREMLIN WALL,2,Non-fiction
CRADLE AND ALL,10,Fiction
CRAIG CLAIBORNE'S GOURMET DIET,40,Non-fiction
CRASH AND BURN,4,Fiction
"CRAZIES TO THE LEFT OF ME, WIMPS TO THE RIGHT",2,Non-fiction
"CRAZIES TO THE LEFT OF ME, WIMPS TO THE RIGHT, b y Bernard Goldberg.",1,Non-fiction
CRAZY FOR THE STORM,4,Non-fiction
CRAZY IS MY SUPERPOWER,1,Non-fiction
CRAZY LOVE,1,Non-fiction
CRAZY SALAD,1,Non-fiction
CREAM HILL,8,Non-fiction
CREAM PUFF MURDER,1,Fiction
CREATED EQUAL,2,Non-fiction
CREATING WEALTH,28,Non-fiction
CREATION,16,Fiction
CREATION IN DEATH,4,Fiction
CREATION LAKE,1,Fiction
CREATIVE DIVORCE,5,Non-fiction
"CREATIVITY, INC",2,Non-fiction
CREATURES OF CIRCUMSTANCE,8,Fiction
CREEK MARY'S BLOOD,11,Fiction
CREOLE BELLE,3,Fiction
CRESCENT CITY,10,Fiction
CRESCENT DAWN,6,Fiction
CRESS DELAHANTY,11,Fiction
CRIME BEAT,2,Non-fiction
CRIME IN AMERICA,27,Non-fiction
CRIME IN PROGRESS,1,Non-fiction
CRIME SCENE,2,Fiction
CRIMEFILE NO. 1,1,Fiction
CRIMES AGAINST LIBERTY,6,Non-fiction
CRIMINAL,3,Fiction
CRIMSON DEATH,1,Fiction
CRIMSON IS THE EASTERN SHORE,1,Fiction
CRIMSON JOY,11,Fiction
CRIMSON SHORE,2,Fiction
CRIPPLED AMERICA,13,Non-fiction
CRIPPLED SPLENDOUR,2,Fiction
CRISIS,4,Fiction
CRISIS ECONOMICS,3,Non-fiction
CRISIS IN BLACK AND WHITE,10,Non-fiction
CRISIS IN THE CLASSROOM,2,Non-fiction
CRISIS IN THE RED ZONE,1,Non-fiction
CRISIS INVESTING,34,Non-fiction
CRISIS OF CHARACTER,10,Non-fiction
CRISS CROSS,8,Fiction
CRITICAL,2,Fiction
CRONKITE,3,Non-fiction
CROOK MANIFESTO,3,Fiction
CROOKED RIVER,4,Fiction
CROSS,15,Fiction
CROSS BONES,3,Fiction
CROSS COUNTRY,11,Fiction
CROSS CREEK,10,Non-fiction
CROSS DOWN,5,Fiction
CROSS FIRE,10,Fiction
CROSS JUSTICE,7,Fiction
CROSS MY HEART,9,Fiction
CROSS ROADS,11,Fiction
CROSS THE LINE,10,Fiction
CROSSFIRE,1,Fiction
CROSSHAIRS,3,Fiction
CROSSING OVER,20,Non-fiction
CROSSING THE THRESHOLD OF HOPE,17,Non-fiction
CROSSINGS,24,Fiction
CROSSROADS,3,Fiction
CROSSROADS OF FREEDOM: Antietam,2,Non-fiction
CROSSROADS OF TWILIGHT,12,Fiction
CROW AND WEASEL,4,Fiction
CROWDED HOURS,6,Non-fiction
CROWN JEWEL,1,Fiction
CROWNED HEADS,14,Fiction
CRUCIBLE,2,Fiction
CRUEL & UNUSUAL,12,Fiction
CRUEL DOUBT,7,Non-fiction
CRUEL SHOES,42,Non-fiction
CRUNCH TIME,1,Fiction
CRUSADE IN EUROPE,27,Non-fiction
CRUSADER'S CROSS,2,Fiction
CRY NO MORE,1,Fiction
CRY OF THE KALAHARI,4,Non-fiction
"CRY, THE BELOVED COUNTRY",24,Fiction
CRYING IN H MART,66,Non-fiction
CRYPTONOMICON,3,Fiction
CRYSTAL GARDENS,1,Fiction
CRYSTAL WOMAN,2,Non-fiction
CUBA,1,Fiction
CUBA LIBRE,5,Fiction
CUBA STRAITS,2,Fiction
CUJO,34,Fiction
CULBERTSON'S 1933 SUMMARY,2,Non-fiction
CULBERTSON'S NEW SUMMARY OF CONTRACT BRIDGE,4,Non-fiction
CULTURAL LITERACY,23,Non-fiction
CULTURE AND COMMITMENT,1,Non-fiction
CULTURE OF COMPLAINT,7,Non-fiction
CULTURE OF CORRUPTION,10,Non-fiction
CULTURE WARRIOR,21,Non-fiction
CURE,2,Fiction
CURIOUS MINDS,3,Fiction
CURRIER AND IVE'S AMERICA,1,Non-fiction
CURSE OF THE KINGS,12,Fiction
CURSED,2,Fiction
CURTAIN,33,Fiction
CUSTER,1,Non-fiction
CUT AND THRUST,2,Fiction
CUTLASS EMPIRE,22,Fiction
CYBILL DISOBEDIENCE,6,Non-fiction
CYCLES,16,Non-fiction
CYCLOPS,14,Fiction
"D-DAY, JUNE 6, 1944",9,Non-fiction
D. C. DEAD,1,Fiction
D.V.,11,Non-fiction
DAD IS FAT,15,Non-fiction
DADDY,22,Fiction
DADDY'S GIRLS,4,Fiction
DADDY'S GONE A HUNTING,6,Fiction
DADDY'S LITTLE GIRL,9,Fiction
DADDY’S GIRL,3,Fiction
DAHL'S BOSTON,6,Non-fiction
DAISY DARKER,1,Fiction
DAISY JONES & THE SIX,9,Fiction
DAISY KENYON,1,Fiction
DAISY-HEAD MAYZIE,11,Fiction
DAMAGE,13,Fiction
DAMAGE CONTROL,2,Fiction
DAMAGED,2,Fiction
DAMASCUS COUNTDOWN,4,Fiction
DAMASCUS GATE,4,Fiction
DAMIA,1,Fiction
DAMIA'S CHILDREN,1,Fiction
DAMN FEW,3,Non-fiction
DAMNED,2,Fiction
DANCE OF DEATH,4,Fiction
DANCE OF THE BONES,1,Fiction
DANCE TO THE PIPER,12,Non-fiction
DANCE WHILE YOU CAN,6,Non-fiction
DANCE WITH THE DEVIL,1,Fiction
DANCING IN THE LIGHT,30,Non-fiction
DANCING ON MY GRAVE,15,Non-fiction
DANCING WITH MYSELF,1,Non-fiction
DANGER IS MY BUSINESS,5,Non-fiction
DANGER SIGNAL,3,Fiction
DANGEROUS,6,Non-fiction
DANGEROUS GAMES,4,Fiction
DANGEROUS KISS,4,Fiction
DANGEROUS MINDS,3,Fiction
DANGEROUS TO KNOW,6,Fiction
DANIEL MARTIN,27,Fiction
DANSE MACABRE,8,Non-fiction
DAPPER DAN: MADE IN HARLEM,2,Non-fiction
DARING TO HOPE,1,Non-fiction
DARK AGE,1,Fiction
DARK ANGEL,4,Fiction
DARK ASSASSIN,1,Fiction
DARK BLOOD,1,Fiction
DARK CAROUSEL,1,Fiction
DARK CELEBRATION,4,Fiction
DARK CURSE,3,Fiction
DARK DECEMBER,1,Non-fiction
DARK FORCE RISING,15,Fiction
DARK FUTURE,5,Non-fiction
DARK GHOST,1,Fiction
DARK HARBOR,5,Fiction
DARK HORSE,24,Fiction
DARK ILLUSION,1,Fiction
DARK IN DEATH,4,Fiction
DARK JUSTICE,4,Fiction
DARK LADY,5,Fiction
DARK LEGACY,1,Fiction
DARK LORD: THE RISE OF DARTH VADER,2,Fiction
DARK LYCAN,1,Fiction
DARK MATTER,4,Fiction
DARK MIRROR,1,Fiction
DARK MONEY,13,Non-fiction
DARK OF NIGHT,1,Fiction
DARK OF THE MOON,5,Fiction
DARK PERIL,2,Fiction
DARK POSSESSION,4,Fiction
DARK PREDATOR,2,Fiction
DARK PROMISES,1,Fiction
DARK RIVERS OF THE HEART,10,Fiction
DARK ROSE,1,Fiction
DARK SACRED NIGHT,9,Fiction
DARK SENTINEL,1,Fiction
DARK SIDE OF THE MOON,2,Fiction
DARK SKY,4,Fiction
DARK SLAYER,3,Fiction
DARK SONG,1,Fiction
DARK STAR SAFARI,1,Non-fiction
DARK STORM,1,Fiction
DARK SUMMER,2,Fiction
DARK SUN,5,Non-fiction
DARK TORT,4,Fiction
DARK TOWERS,3,Non-fiction
DARK TRIBUTE,1,Fiction
DARK WOLF,1,Fiction
DARKER AFTER MIDNIGHT,1,Fiction
DARKNESS,4,Fiction
DARKNESS VISIBLE,24,Non-fiction
DARKSABER,3,Fiction
DARTH BANE: PATH OF DESTRUCTION,2,Fiction
DARTH BANE: RULE OF TWO,2,Fiction
DARTH MAUL: Shadow Hunter,4,Fiction
DARTH PLAGUEIS,2,Fiction
DARWIN'S DOUBT,1,Non-fiction
DASHING THROUGH THE SNOW,3,Fiction
DATA AND GOLIATH,2,Non-fiction
DATACLYSM,1,Non-fiction
DATING GAME,6,Fiction
DAUGHTER OF FORTUNE,13,Fiction
DAUGHTER OF FRANCE,1,Non-fiction
DAUGHTER OF MINE,1,Fiction
DAUGHTER OF SILENCE,21,Fiction
DAUGHTER OF THE MORNING STAR,1,Fiction
DAUGHTERS & MOTHERS,2,Non-fiction
DAUGHTERS AND REBELS,4,Non-fiction
DAVE BARRY DOES JAPAN,4,Non-fiction
DAVE BARRY IS NOT MAKING THIS UP,7,Non-fiction
DAVE BARRY SLEPT HERE,11,Non-fiction
DAVE BARRY TALKS BACK,15,Non-fiction
DAVE BARRY TURNS 40,20,Non-fiction
DAVE BARRY TURNS 50,6,Non-fiction
DAVE BARRY'S COMPLETE GUIDE TO GUYS,17,Non-fiction
DAVID AND GOLIATH,47,Non-fiction
DAVID BRINKLEY,13,Non-fiction
DAVID THE KING,18,Fiction
DAWN AT LYONESSE,2,Fiction
DAWNSHARD,1,Fiction
DAY BEFORE YESTERDAY,2,Non-fiction
DAY OF CONFESSION,3,Fiction
DAY OF INFAMY,17,Non-fiction
DAY OF RECKONING,6,Fiction
DAY OF THE CHEETAH,9,Fiction
DAY SHIFT,1,Fiction
DAYBREAK,2,Fiction
DAYLIGHT,7,Fiction
DAYS AND NIGHTS,11,Fiction
"DAYS OF DESTRUCTION, DAYS OF REVOLT",2,Non-fiction
DAYS OF GRACE,16,Non-fiction
DAYS OF INFAMY,1,Fiction
DAYS OF OUR LIVES,7,Non-fiction
DAYS OF OUR YEARS,60,Non-fiction
DAZZLE,14,Fiction
DEACON KING KONG,4,Fiction
DEAD AIM,4,Fiction
DEAD AND GONE,23,Fiction
DEAD AS A DOORNAIL,1,Fiction
DEAD CERTAIN,3,Non-fiction
DEAD EVER AFTER,5,Fiction
DEAD FALL,3,Fiction
DEAD HEAT,12,Fiction
DEAD ICE,1,Fiction
DEAD IN THE FAMILY,10,Fiction
DEAD IN THE WATER,4,Fiction
DEAD MAN'S WALK,7,Fiction
DEAD MOUNTAIN,1,Fiction
DEAD OF NIGHT,1,Fiction
DEAD OR ALIVE,13,Fiction
DEAD RECKONING,10,Fiction
DEAD RINGER,4,Fiction
DEAD SILENCE,3,Fiction
DEAD SLEEP,1,Fiction
DEAD WAKE,33,Non-fiction
DEAD WATCH,6,Fiction
DEAD WRONG,3,Fiction
DEAD ZERO,1,Fiction
DEADEYE DICK,14,Fiction
DEADFALL,1,Fiction
DEADLIEST ENEMY,1,Non-fiction
DEADLINE,8,Fiction
DEADLINES AND DATELINES,3,Non-fiction
DEADLOCK,2,Fiction
DEADLOCKED,6,Fiction
DEADLY ASSETS,1,Fiction
DEADLY CROSS,8,Fiction
DEADLY DECISIONS,4,Fiction
DEADLY EMBRACE,1,Fiction
DEADLY HEAT,2,Fiction
DEADLY STAKES,1,Fiction
DEAF UTOPIA,1,Non-fiction
DEAL,1,Non-fiction
DEALING WITH CHINA,3,Non-fiction
DEAN AND ME (A LOVE STORY),3,Non-fiction
DEAR ABBY,23,Non-fiction
DEAR AND GLORIOUS PHYSICIAN,64,Fiction
DEAR DAD,1,Non-fiction
DEAR EDWARD,8,Fiction
DEAR GIRLS,1,Non-fiction
DEAR IJEAWELE,3,Non-fiction
DEAR JOHN,12,Fiction
DEAR LIFE,1,Fiction
DEAR MADAM PRESIDENT,3,Non-fiction
DEAR ME,1,Non-fiction
DEAR MILI,10,Fiction
DEAR SANTA,2,Fiction
DEAR SENATOR,2,Non-fiction
DEARIE,5,Non-fiction
DEARLY BELOVED,32,Fiction
DEATH AND HONOR,2,Fiction
DEATH ANGEL,3,Fiction
DEATH BE NOT PROUD,13,Non-fiction
DEATH BEAM,1,Fiction
DEATH BY BLACK HOLE,1,Non-fiction
DEATH COMES TO PEMBERLEY,13,Fiction
DEATH DANCE,3,Fiction
DEATH ECHO,1,Fiction
DEATH IN HER HANDS,1,Fiction
DEATH IN HOLY ORDERS,10,Fiction
DEATH IN PARADISE,3,Fiction
DEATH IN THE AFTERNOON,6,Non-fiction
DEATH IN THE AIR,1,Fiction
DEATH OF A NATION,6,Non-fiction
DEATH OF A PRINCESS,1,Non-fiction
DEATH OF A SALESMAN,5,Non-fiction
DEATH OF KINGS,3,Fiction
DEATH OF THE FOX,2,Fiction
DEATH ON THE D-LIST,1,Fiction
DEATH QUEST,4,Fiction
DEATH STAR,1,Fiction
DEATH TROOPERS,1,Fiction
DEATH WEARS A BEAUTY MASK AND OTHER STORIES,2,Fiction
DEATH'S MISTRESS,1,Fiction
DEATHS OF DESPAIR AND THE FUTURE OF CAPITALISM,1,Non-fiction
"DEATH’S EXCELLENT VACATION, edited by Charlaine H arris and Toni L. P.",1,Fiction
DEBORAH,5,Fiction
DEBT OF HONOR,25,Fiction
DECEIVED,1,Fiction
DECEMBER 6,1,Fiction
DECEPTION,9,Fiction
DECEPTION ON HIS MIND,6,Fiction
DECEPTIONS,2,Fiction
DECIDER,8,Fiction
DECIDING THE NEXT DECIDER,1,Non-fiction
DECISION AT DELPHI,26,Fiction
DECISION IN GERMANY,8,Non-fiction
DECISION POINTS,21,Non-fiction
DECK THE HALLS,10,Fiction
DECLINE AND FALL OF PRACTICALLY EVERYBODY,18,Non-fiction
DECODED,14,Non-fiction
DEEP BLUE,2,Fiction
DEEP COVER,4,Non-fiction
DEEP DARK RIVER,1,Fiction
DEEP DISH,1,Fiction
DEEP DOWN DARK,7,Non-fiction
DEEP FREEZE,4,Fiction
DEEP SHADOW,3,Fiction
DEEP SIX,15,Fiction
DEEP SOUTH,4,Fiction
DEEP STATE,1,Non-fiction
DEEP STORM,3,Fiction
DEEP WATERS,3,Fiction
DEEPER THAN THE DEAD,4,Fiction
DEEPLY ODD,3,Fiction
DEFEAT IN VICTORY,6,Non-fiction
DEFENDING JACOB,9,Fiction
DEFENSE WILL NOT WIN THE WAR,4,Non-fiction
DEFINITELY DEAD,3,Fiction
DEGREE OF GUILT,11,Fiction
DEJA DEAD,7,Fiction
DELICIOUS!,1,Fiction
DELILAH,11,Fiction
DELIVER US FROM EVIL,17,Non-fiction
DELIVERANCE,26,Fiction
DELOREAN,3,Non-fiction
DELTA OF VENUS,36,Fiction
DELTA WEDDING,5,Fiction
DELUSION IN DEATH,3,Fiction
DELUXE,1,Non-fiction
DELUXE TOUR,3,Fiction
DEMOCRACY,7,Fiction
DEMOCRACY AWAKENING,10,Non-fiction
DEMOCRACY MATTERS,1,Non-fiction
DEMON COPPERHEAD,69,Fiction
DEMON LORD OF KARANDA,7,Fiction
DEMONIC,7,Non-fiction
DEMPSEY BY THE MAN HIMSELF,2,Non-fiction
DEN OF THIEVES,33,Non-fiction
DENNIS THE MENACE,1,Non-fiction
DENSE MACABRE,1,Fiction
DEPRAVED HEART,3,Fiction
DEPTH OF WINTER,2,Fiction
DEPTHS OF GLORY,4,Fiction
DER FUEHRER,6,Non-fiction
DERAILED,1,Fiction
DERELICTION OF DUTY,17,Non-fiction
DESCENT,1,Fiction
DESCENT FROM XANADU,8,Fiction
DESECRATION,12,Fiction
DESERT GOD,1,Fiction
DESERT ISLAND DECAMERON,7,Non-fiction
DESERT STAR,6,Fiction
DESIGN FOR LIVING,1,Non-fiction
DESIGN FOR SURVIVAL,5,Non-fiction
DESIGNATION GOLD,2,Fiction
DESIGNING MALE,1,Non-fiction
DESIGNING WOMEN,6,Non-fiction
DESIGNING YOUR FACE,22,Non-fiction
DESIREE,55,Fiction
DESOLATION MOUNTAIN,1,Fiction
DESPERATE MEASURES,1,Fiction
DESPERATION,15,Fiction
DESPERATION IN DEATH,3,Fiction
DESTINY,14,Fiction
DESTINY AND POWER,7,Non-fiction
DESTINY OF THE REPUBLIC,6,Non-fiction
DESTROYER ANGEL,1,Fiction
DETERMINED,1,Non-fiction
DETOUR,10,Non-fiction
DETROIT,5,Non-fiction
DETROIT IS MY OWN HOME TOWN,22,Non-fiction
DEVICES AND DESIRES,16,Fiction
DEVIL BONES,4,Fiction
DEVIL HOUSE,2,Fiction
DEVIL MAY CARE,3,Fiction
DEVIL MAY CRY,3,Fiction
DEVIL ON HORSEBACK,1,Fiction
DEVIL WATER,25,Fiction
DEVIL'S BARGAIN,6,Non-fiction
DEVIL'S BRIDGE,1,Fiction
DEVIL'S CORNER,2,Fiction
DEVIL'S CUT,1,Fiction
DEVIL'S GATE,3,Fiction
DEVIL'S WALTZ,7,Fiction
DEVIL’S FOOD CAKE MURDER,1,Fiction
DEVOLUTION,1,Fiction
DEVOTED IN DEATH,2,Fiction
DEVOTIONS,4,Fiction
DEWEY,30,Non-fiction
DEXTER BY DESIGN,1,Fiction
DEXTER IN THE DARK,1,Fiction
DIABLO MESA,1,Fiction
DIAGHILEFF,1,Non-fiction
DIALOGUES OF ALFRED NORTH WHITEHEAD,4,Non-fiction
DIAMOND HEAD,18,Fiction
DIANA IN PRIVATE,11,Non-fiction
DIANA IN SEARCH OF HERSELF,5,Non-fiction
DIANA'S BOYS,4,Non-fiction
"DIANA, PRINCESS OF WALES, edited by Michael O'Ma ra. (St. Martin's, $25.) A",1,Non-fiction
"DIANA, PRINCESS OF WALES, edited by Michael O'Ma ra. (St. Martin's, $25.) An",3,Non-fiction
"DIANA, PRINCESS OF WALES, edited by Michael O'Mar a. (St. Martin's, $25.) An",1,Non-fiction
